!Clamp R On && ! Active eCall On && !RST	!Clamp R включен && ! Active eCall включен && !RST
% Tastverhaeltnis	% Скважность
% Tastverhältnis	% Скважность
P0990 Getriebeöldrucksensor/-schalter 5 - Input hoch	P0990 Датчик/выключатель давления масла коробки передач 5 - сигнал высокий
P0991 Getriebeöldrucksensor/-schalter 5 - Input sporadisch	P0991 Датчик/выключатель давления масла коробки передач 5 - сигнал прерывистый
P0992 Getriebeöldrucksensor/-schalter 6 - Fehlfunktion	P0992 Датчик/выключатель давления масла коробки передач 6 - неисправность
P0993 Getriebeöldrucksensor/-schalter 6 - Meßbereichs- oder Leistungsproblem	P0993 Датчик/выключатель давления масла коробки передач 6 - проблема измерительного диапазона или мощности
P0994 Getriebeöldrucksensor/-schalter 6 - Input niedrig	P0994 Датчик/выключатель давления масла коробки передач 6 - сигнал низкий
P0995 Getriebeöldrucksensor/-schalter 6 - Input hoch	P0995 Датчик/выключатель давления масла коробки передач 6 - сигнал высокий
P0996 Getriebeöldrucksensor/-schalter 6 - Input sporadisch	P0996 Датчик/выключатель давления масла коробки передач 6 - сигнал прерывистый
P0997 Magnetventil 6 - Meßbereichs- oder Leistungsproblem	P0997 Электромагнитный клапан 6 - проблема измерительного диапазона или мощности
P0998 Magnetventil 6 - Input niedrig	P0998 Электромагнитный клапан 6 - сигнал низкий
P0999 Magnetventil 6 - Input hoch	P0999 Электромагнитный клапан 6 - сигнал высокий
P099A Magnetventil 7 - Meßbereichs- oder Leistungsproblem	P099A Электромагнитный клапан 7 - проблема измерительного диапазона или мощности
P099B Magnetventil 7 - Input niedrig	P099B Электромагнитный клапан 7 - сигнал низкий
P099C Magnetventil 7 - Input hoch	P099C Электромагнитный клапан 7 - сигнал высокий
P099D Magnetventil 8 - Meßbereichs- oder Leistungsproblem	P099D Электромагнитный клапан 8 - проблема измерительного диапазона или мощности
P099E Magnetventil 8 - Input niedrig	P099E Электромагнитный клапан 8 - сигнал низкий
P099F Magnetventil 8 - Input hoch	P099F Электромагнитный клапан 8 - сигнал высокий
P0A00 Motorelektronik Kühlmitteltemperaturfühler - Fehlfunktion oder Leitungsunterbrechung	P0A00 Электроника двигателя, датчик температуры охлаждающей жидкости - неисправность или обрыв цепи
P0A01 Motorelektronik Kühlmitteltemperaturfühler - Meßbereichs- oder Leistungsproblem	P0A01 Электроника двигателя, датчик температуры охлаждающей жидкости - проблема измерительного диапазона или мощности
P0A02 Motorelektronik Kühlmitteltemperaturfühler - Input niedrig	P0A02 Электроника двигателя, датчик температуры охлаждающей жидкости - сигнал низкий
P0A03 Motorelektronik Kühlmitteltemperaturfühler - Input hoch	P0A03 Электроника двигателя, датчик температуры охлаждающей жидкости - сигнал высокий
P0A04 Motorelektronik Kühlmitteltemperaturfühler - Input sporadisch	P0A04 Электроника двигателя, датчик температуры охлаждающей жидкости - сигнал прерывистый
P0A05 Motorelektronik Kühlmittelpumpe - Fehlfunktion oder Leitungsunterbrechung	P0A05 Электроника двигателя, насос охлаждающей жидкости - неисправность или обрыв цепи
P0A06 Motorelektronik Kühlmittelpumpe - Input niedrig	P0A06 Электроника двигателя, насос охлаждающей жидкости - сигнал низкий
P0A07 Motorelektronik Kühlmittelpumpe - Input hoch	P0A07 Электроника двигателя, насос охлаждающей жидкости - сигнал высокий
P0A08 DC/DC Wandler Status - Fehlfunktion oder Leitungsunterbrechung	P0A08 Статус DC/DC преобразователя - неисправность или обрыв цепи
P0A09 DC/DC Wandler Status - Input niedrig	P0A09 Статус DC/DC преобразователя - сигнал низкий
P0A0A Hochspannungssystem Interlockschalter - Fehlfunktion oder Leitungsunterbrechung	P0A0A Система высокого напряжения, блокировочный выключатель - неисправность или обрыв цепи
P0A0B Hochspannungssystem Interlockschalter - Leistungsproblem	P0A0B Система высокого напряжения, блокировочный выключатель - проблема мощности
P0A0C Hochspannungssystem Interlockschalter - Input niedrig	P0A0C Система высокого напряжения, блокировочный выключатель - сигнал низкий
P0A0D Hochspannungssystem Interlockschalter - Input hoch	P0A0D Система высокого напряжения, блокировочный выключатель - сигнал высокий
P0A0E Hochspannungssystem Interlockschalter - Input sporadisch	P0A0E Система высокого напряжения, блокировочный выключатель - сигнал прерывистый
P0A0F Motorstart - fehlgeschlagen	P0A0F Запуск двигателя - неудачный
P0A10 DC/DC Wandler Status - Input hoch	P0A10 Статус DC/DC преобразователя - сигнал высокий
P0A11 DC/DC Wandler Freigabe - Fehlfunktion oder Leitungsunterbrechung	P0A11 Разрешение DC/DC преобразователя - неисправность или обрыв цепи
P0A12 DC/DC Wandler Freigabe - Input niedrig	P0A12 Разрешение DC/DC преобразователя - сигнал низкий
P0A13 DC/DC Wandler Freigabe - Input hoch	P0A13 Разрешение DC/DC преобразователя - сигнал высокий
P0A14 Motorlager 1 - Fehlfunktion oder Leitungsunterbrechung	P0A14 Опора двигателя 1 - неисправность или обрыв цепи
P0A15 Motorlager 1 - Input niedrig	P0A15 Опора двигателя 1 - сигнал низкий
P0A16 Motorlager 1 - Input hoch	P0A16 Опора двигателя 1 - сигнал высокий
P0A17 Motor Drehmomentsensor - Fehlfunktion	P0A17 Датчик крутящего момента двигателя - неисправность
P0A18 Motor Drehmomentsensor - Meßbereichs- oder Leistungsproblem	P0A18 Датчик крутящего момента двигателя - проблема измерительного диапазона или мощности
P0A19 Motor Drehmomentsensor - Input niedrig	P0A19 Датчик крутящего момента двигателя - сигнал низкий
P0A1A Generator-Steuergerät - Fehlfunktion	P0A1A Блок управления генератором - неисправность
P0A1B Antriebsmotor 1 Steuergerät - Fehlfunktion	P0A1B Блок управления тяговым электродвигателем 1 - неисправность
P0A1C Antriebsmotor 2 Steuergerät - Fehlfunktion	P0A1C Блок управления тяговым электродвигателем 2 - неисправность
P0A1D Hybridantriebs-Steuergerät - Fehlfunktion	P0A1D Блок управления гибридным приводом - неисправность
P0A1E Anlasser-/Generator-Steuergerät - Fehlfunktion	P0A1E Блок управления стартер-генератором - неисправность
P0A1F Batterie-Steuergerät - Fehlfunktion	P0A1F Блок управления батареей - неисправность
P0A20 Motor Drehmomentsensor - Innput hoch	P0A20 Датчик крутящего момента двигателя - сигнал высокий
P0A21 Motor Drehmomentsensor - Input sporadisch	P0A21 Датчик крутящего момента двигателя - сигнал прерывистый
P0A22 Generator Drehmomentsensor - Fehlfunktion	P0A22 Датчик крутящего момента генератора - неисправность
P0A23 Generator Drehmomentsensor - Meßbereichs- oder Leistungsproblem	P0A23 Датчик крутящего момента генератора - проблема измерительного диапазона или мощности
P0A24 Generator Drehmomentsensor - Input niedrig	P0A24 Датчик крутящего момента генератора - сигнал низкий
P0A25 Generator Drehmomentsensor - Input hoch	P0A25 Датчик крутящего момента генератора - сигнал высокий
P0A26 Generator Drehmomentsensor - Input sporadisch	P0A26 Датчик крутящего момента генератора - сигнал прерывистый
P0A27 Hybridbatterie Deaktivierung - Fehlfunktion	P0A27 Отключение гибридной батареи - неисправность
P0A28 Hybridbatterie Deaktivierung - Input niedrig	P0A28 Отключение гибридной батареи - сигнал низкий
P0A29 Hybridbatterie Deaktivierung - Input hoch	P0A29 Отключение гибридной батареи - сигнал высокий
P0A2A Antriebsmotor 1 Temperaturfühler - Fehlfunktion oder Leitungsunterbrechung	P0A2A Датчик температуры тягового электродвигателя 1 - неисправность или обрыв цепи
P0A2B Antriebsmotor 1 Temperaturfühler - Meßbereichs- oder Leistungsproblem	P0A2B Датчик температуры тягового электродвигателя 1 - проблема измерительного диапазона или мощности
P0A2C Antriebsmotor 1 Temperaturfühler - Input niedrig	P0A2C Датчик температуры тягового электродвигателя 1 - сигнал низкий
P0A2D Antriebsmotor 1 Temperaturfühler - Input hoch	P0A2D Датчик температуры тягового электродвигателя 1 - сигнал высокий
P0A2E Antriebsmotor 1 Temperaturfühler - Input sporadisch	P0A2E Датчик температуры тягового электродвигателя 1 - сигнал прерывистый
P0A2F Antriebsmotor 1 Temperaturfühler - Übertemperatur	P0A2F Датчик температуры тягового электродвигателя 1 - перегрев
P0A30 Antriebsmotor 2 Temperaturfühler - Fehlfunktion oder Leitungsunterbrechung	P0A30 Датчик температуры тягового электродвигателя 2 - неисправность или обрыв цепи
P0A31 Antriebsmotor 2 Temperaturfühler - Meßbereichs- oder Leistungsproblem	P0A31 Датчик температуры тягового электродвигателя 2 - проблема измерительного диапазона или мощности
P0A32 Antriebsmotor 2 Temperaturfühler - Input niedrig	P0A32 Датчик температуры тягового электродвигателя 2 - сигнал низкий
P0A33 Antriebsmotor 2 Temperaturfühler - Input hoch	P0A33 Датчик температуры тягового электродвигателя 2 - сигнал высокий
P0A34 Antriebsmotor 2 Temperaturfühler - Input sporadisch	P0A34 Датчик температуры тягового электродвигателя 2 - сигнал прерывистый
P0A35 Antriebsmotor 2 Temperaturfühler - Übertemperatur	P0A35 Датчик температуры тягового электродвигателя 2 - перегрев
P0A36 Generator Temperaturfühler - Fehlfunktion	P0A36 Датчик температуры генератора - неисправность
P0A37 Generator Temperaturfühler - Meßbereichs- oder Leistungsproblem	P0A37 Датчик температуры генератора - проблема измерительного диапазона или мощности
P0A38 Generator Temperaturfühler - Input niedrig	P0A38 Датчик температуры генератора - сигнал низкий
P0A39 Generator Temperaturfühler - Input hoch	P0A39 Датчик температуры генератора - сигнал высокий
P0A3A Generator Temperaturfühler - Input sporadisch	P0A3A Датчик температуры генератора - сигнал прерывистый
P0A3B Generator - Übertemperatur	P0A3B Генератор - перегрев
P0A3C Antriebsmotor 1 Inverter - Übertemperatur	P0A3C Инвертор тягового электродвигателя 1 - перегрев
P0A3D Antriebsmotor 2 Inverter - Übertemperatur	P0A3D Инвертор тягового электродвигателя 2 - перегрев
P0A3E Generator Inverter - Übertemperatur	P0A3E Инвертор генератора - перегрев
P0A3F Antriebsmotor 1 Positionssensor - Fehlfunktion oder Leitungsunterbrechung	P0A3F Датчик положения тягового электродвигателя 1 - неисправность или обрыв цепи
P0A40 Antriebsmotor 1 Positionssensor - Meßbereichs- odr Leistungsproblem	P0A40 Датчик положения тягового электродвигателя 1 - проблема измерительного диапазона или мощности
P0A41 Antriebsmotor 1 Positionssensor - Input niedrig	P0A41 Датчик положения тягового электродвигателя 1 - сигнал низкий
P0A42 Antriebsmotor 1 Positionssensor - Input hoch	P0A42 Датчик положения тягового электродвигателя 1 - сигнал высокий
P0A43 Antriebsmotor 1 Positionssensor - Input sporadisch	P0A43 Датчик положения тягового электродвигателя 1 - сигнал прерывистый
P0A44 Antriebsmotor 1 Positionssensor - Überdrehzahl	P0A44 Датчик положения тягового электродвигателя 1 - превышение частоты вращения
P0A45 Antriebsmotor 2 Positionssensor - Fehlfunktion oder Leitungsunterbrechung	P0A45 Датчик положения тягового электродвигателя 2 - неисправность или обрыв цепи
P0A46 Antriebsmotor 2 Positionssensor - Meßbereichs- oder Leistungsproblem	P0A46 Датчик положения тягового электродвигателя 2 - проблема измерительного диапазона или мощности
P0A47 Antriebsmotor 2 Positionssensor - Input niedrig	P0A47 Датчик положения тягового электродвигателя 2 - сигнал низкий
P0A48 Antriebsmotor 2 Positionssensor - Input hoch	P0A48 Датчик положения тягового электродвигателя 2 - сигнал высокий
P0A49 Antriebsmotor 2 Positionssensor - Input sporadisch	P0A49 Датчик положения тягового электродвигателя 2 - сигнал прерывистый
P0A4A Antriebsmotor 2 Positionssensor - Überdrehzahl	P0A4A Датчик положения тягового электродвигателя 2 - превышение частоты вращения
P0A4B Generator Positionssensor - Fehlfunktion oder Leitungsunterbrechung	P0A4B Датчик положения генератора - неисправность или обрыв цепи
P0A4C Generator Positionssensor - Meßbereichs- oder Leistungsproblem	P0A4C Датчик положения генератора - проблема измерительного диапазона или мощности
P0A4D Generator Positionssensor - Input niedrig	P0A4D Датчик положения генератора - сигнал низкий
P0A4E Generator Positionssensor - Input hoch	P0A4E Датчик положения генератора - сигнал высокий
P0A4F Generator Positionssensor - Input sporadisch	P0A4F Датчик положения генератора - сигнал прерывистый
P0A50 Generator Positionssensor - Überdrehzahl	P0A50 Датчик положения генератора - превышение частоты вращения
P0A51 Antriebsmotor 1 Stromsensor - Fehlfunktion oder Leitungsunterbrechung	P0A51 Датчик тока тягового электродвигателя 1 - неисправность или обрыв цепи
P0A52 Antriebsmotor 1 Stromsensor - Meßbereichs- oder Leistungsproblem	P0A52 Датчик тока тягового электродвигателя 1 - проблема измерительного диапазона или мощности
P0A53 Antriebsmotor 1 Stromsensor - Input niedrig	P0A53 Тяговый электродвигатель 1 датчик тока - вход низкий
P0A54 Antriebsmotor 1 Stromsensor - Input hoch	P0A54 Тяговый электродвигатель 1 датчик тока - вход высокий
P0A55 Antriebsmotor 2 Stromsensor - Fehlfunktion oder Leitungsunterbrechung	P0A55 Тяговый электродвигатель 2 датчик тока - неисправность или обрыв цепи
P0A56 Antriebsmotor 2 Stromsensor - Meßbereichs- oder Leistungsproblem	P0A56 Тяговый электродвигатель 2 датчик тока - выход за диапазон измерения или неполадка в работе
P0A57 Antriebsmotor 2 Stromsensor - Input niedrig	P0A57 Тяговый электродвигатель 2 датчик тока - вход низкий
P0A58 Antriebsmotor 2 Stromsensor - Input hoch	P0A58 Тяговый электродвигатель 2 датчик тока - вход высокий
P0A59 Generator Stromsensor - Fehlfunktion oder Leitungsunterbrechung	P0A59 Генератор датчик тока - неисправность или обрыв цепи
P0A5A Generator Stromsensor - Meßbereichs- oder Leistungsproblem	P0A5A Генератор датчик тока - выход за диапазон измерения или неполадка в работе
P0A5B Generator Stromsensor - Input niedrig	P0A5B Генератор датчик тока - вход низкий
P0A5C Generator Stromsensor - Input hoch	P0A5C Генератор датчик тока - вход высокий
P0A5D Antriebsmotor 1 Strom Phase U - Fehlfunktion oder Leitungsunterbrechung	P0A5D Тяговый электродвигатель 1 ток фазы U - неисправность или обрыв цепи
P0A5E Antriebsmotor 1 Strom Phase U - Input niedrig	P0A5E Тяговый электродвигатель 1 ток фазы U - вход низкий
P0A5F Antriebsmotor 1 Strom Phase U - Input hoch	P0A5F Тяговый электродвигатель 1 ток фазы U - вход высокий
P0A60 Antriebsmotor 1 Strom Phase V - Fehlfunktion oder Leitungsunterbrechung	P0A60 Тяговый электродвигатель 1 ток фазы V - неисправность или обрыв цепи
P0A61 Antriebsmotor 1 Strom Phase V - Input niedrig	P0A61 Тяговый электродвигатель 1 ток фазы V - вход низкий
P0A62 Antriebsmotor 1 Strom Phase V - Input hoch	P0A62 Тяговый электродвигатель 1 ток фазы V - вход высокий
P0A63 Antriebsmotor 1 Strom Phase W - Fehlfunktion oder Leitungsunterbrechung	P0A63 Тяговый электродвигатель 1 ток фазы W - неисправность или обрыв цепи
P0A64 Antriebsmotor 1 Strom Phase W - Input niedrig	P0A64 Тяговый электродвигатель 1 ток фазы W - вход низкий
P0A65 Antriebsmotor 1 Strom Phase W - Input hoch	P0A65 Тяговый электродвигатель 1 ток фазы W - вход высокий
P0A66 Antriebsmotor 2 Strom Phase u - Fehlfunktion oder Leitungsunterbrechung	P0A66 Тяговый электродвигатель 2 ток фазы U - неисправность или обрыв цепи
P0A67 Antriebsmotor 2 Strom Phase U - Input niedrig	P0A67 Тяговый электродвигатель 2 ток фазы U - вход низкий
P0A68 Antriebsmotor 2 Strom Phase U - Input hoch	P0A68 Тяговый электродвигатель 2 ток фазы U - вход высокий
P0A69 Antriebsmotor 2 Strom Phase V - Fehlfunktion oder Leitungsunterbrechung	P0A69 Тяговый электродвигатель 2 ток фазы V - неисправность или обрыв цепи
P0A6A Antriebsmotor 2 Strom Phase V - Input niedrig	P0A6A Тяговый электродвигатель 2 ток фазы V - вход низкий
P0A6B Antriebsmotor 2 Strom Phase V - Input hoch	P0A6B Тяговый электродвигатель 2 ток фазы V - вход высокий
P0A6C Antriebsmotor 2 Strom Phase W - Fehlfunktion oder Leitungsunterbrechung	P0A6C Тяговый электродвигатель 2 ток фазы W - неисправность или обрыв цепи
P0A6D Antriebsmotor 2 Strom Phase W - Input niedrig	P0A6D Тяговый электродвигатель 2 ток фазы W - вход низкий
P0A6E Antriebsmotor 2 Strom Phase W - Input hoch	P0A6E Тяговый электродвигатель 2 ток фазы W - вход высокий
P0A6F Generator Strom Phase U - Fehlfunktion oder Leitungsunterbrechung	P0A6F Генератор ток фазы U - неисправность или обрыв цепи
P0A70 Generator Strom Phase U - Input niedrig	P0A70 Генератор ток фазы U - вход низкий
P0A71 Generator Strom Phase U - Input hoch	P0A71 Генератор ток фазы U - вход высокий
P0A72 Generator Strom Phase V - Fehlfunktion oder Leitungsunterbrechung	P0A72 Генератор ток фазы V - неисправность или обрыв цепи
P0A73 Generator Strom Phase V - Input niedrig	P0A73 Генератор ток фазы V - вход низкий
P0A74 Generator Strom Phase V - Input hoch	P0A74 Генератор ток фазы V - вход высокий
P0A75 Generator Strom Phase W - Fehlfunktion oder Leitungsunterbrechung	P0A75 Генератор ток фазы W - неисправность или обрыв цепи
P0A76 Generator Strom Phase W - Input niedrig	P0A76 Генератор ток фазы W - вход низкий
P0A77 Generator Strom Phase W - Input hoch	P0A77 Генератор ток фазы W - вход высокий
P0A78 Antriebsmotor 1 Inverter - Leistungsproblem	P0A78 Тяговый электродвигатель 1 инвертор - неполадка в работе
P0A79 Antriebsmotor 2 Inverter - Leistungsproblem	P0A79 Тяговый электродвигатель 2 инвертор - неполадка в работе
P0A7A Generator Inverter - Leistungsproblem	P0A7A Генератор инвертор - неполадка в работе
P0A7B Batterie-Steuergerät Malfunction Indicator Lamp (MIL) Anforderung - Fehlfunktion	P0A7B Блок управления АКБ запрос лампы неисправности (MIL) - неисправность
P0A7C Motorelektronik - Übertemperatur	P0A7C Электроника двигателя - перегрев
P0A7D Hybridbatteriesatz - Ladezustand niedrig	P0A7D Батарея гибридной установки - низкий уровень заряда
P0A7E Hybridbatteriesatz - Übertemperatur	P0A7E Батарея гибридной установки - перегрев
P0A7F Hybridbatteriesatz - Verschleiß	P0A7F Батарея гибридной установки - износ
P0A80 Hybridbatteriesatz - Austausch erforderlich	P0A80 Батарея гибридной установки - требуется замена
P0A81 Hybridbatteriesatz Lüfter 1 - Fehlfunktion oder Leitungsunterbrechung	P0A81 Вентилятор 1 батареи гибридной установки - неисправность или обрыв цепи
P0A82 Hybridbatteriesatz Lüfter 1 - Leistungsproblem oder klemmt offen	P0A82 Вентилятор 1 батареи гибридной установки - неполадка в работе или заклинил в открытом положении
P0A83 Hybridbatteriesatz Lüfter 1 - klemmt geschlossen	P0A83 Вентилятор 1 батареи гибридной установки - заклинил в закрытом положении
P0A84 Hybridbatteriesatz Lüfter 1 - Input niedrig	P0A84 Вентилятор 1 батареи гибридной установки - вход низкий
P0A85 Hybridbatteriesatz Lüfter 1 - Input hoch	P0A85 Вентилятор 1 батареи гибридной установки - вход высокий
P0A86 14 Volt Powermodul Stromsensor - Fehlfunktion oder Leitungsunterbrechung	P0A86 Силовой модуль 14 В датчик тока - неисправность или обрыв цепи
P0A87 14 Volt Powermodul Stromsensor - Meßbereichs- oder Leistungsproblem	P0A87 Силовой модуль 14 В датчик тока - выход за диапазон измерения или неполадка в работе
P0A88 14 Volt Powermodul Stromsensor - Input niedrig	P0A88 Силовой модуль 14 В датчик тока - вход низкий
P0A89 14 Volt Powermodul Stromsensor - Input hoch	P0A89 Силовой модуль 14 В датчик тока - вход высокий
P0A8A 14 Volt Powermodul Stromsensor - Input sporadisch	P0A8A Силовой модуль 14 В датчик тока - вход нестабильный
P0A8B 14 Volt Powermodul Versorgungsspannung - Fehlfunktion	P0A8B Силовой модуль 14 В напряжение питания - неисправность
P0A8C 14 Volt Powermodul Versorgungsspannung - Instabil	P0A8C Силовой модуль 14 В напряжение питания - нестабильно
P0A8D 14 Volt Powermodul Versorgungsspannung - Input niedrig	P0A8D Силовой модуль 14 В напряжение питания - вход низкий
P0A8E 14 Volt Powermodul Versorgungsspannung - Input hoch	P0A8E Силовой модуль 14 В напряжение питания - вход высокий
P0A8F 14 Volt Powermodul Versorgungsspannung - Leistungsproblem	P0A8F Силовой модуль 14 В напряжение питания - неполадка в работе
P0A90 Antriebsmotor 1 - Leistungsproblem	P0A90 Тяговый электродвигатель 1 - неполадка в работе
P0A91 Antriebsmotor 2 - Leistungsproblem	P0A91 Тяговый электродвигатель 2 - неполадка в работе
P0A92 Hybridgenerator - Leistungsproblem	P0A92 Генератор гибридной установки - неполадка в работе
P0A93 Kühlsystem Inverter - Leistungsproblem	P0A93 Система охлаждения инвертора - неполадка в работе
P0A94 DC/DC Wandler - Leistungsproblem	P0A94 DC/DC преобразователь - неполадка в работе
P0A95 Hochspannungssicherung - Fehlfunktion	P0A95 Предохранитель высокого напряжения - неисправность
P0A96 Hybridbatteriesatz Lüfter 2 - Fehlfunktion oder Leitungsunterbrechung	P0A96 Вентилятор 2 батареи гибридной установки - неисправность или обрыв цепи
P0A97 Hybridbatteriesatz Lüfter 2 - Leistungsproblem oder klemmt offen	P0A97 Вентилятор 2 батареи гибридной установки - неполадка в работе или заклинил в открытом положении
P0A98 Hybridbatteriesatz Lüfter 2 - klemmt geschlossen	P0A98 Вентилятор 2 батареи гибридной установки - заклинил в закрытом положении
P0A99 Hybridbatteriesatz Lüfter 2 - Input niedrig	P0A99 Вентилятор 2 батареи гибридной установки - вход низкий
P0A9A Hybridbatteriesatz Lüfter 2 - Input hoch	P0A9A Вентилятор 2 батареи гибридной установки - вход высокий
P0A9B Hybridbatterie Temperaturfühler 1 - Fehlfunktion oder Leitungsunterbrechung	P0A9B Батарея гибридной установки датчик температуры 1 - неисправность или обрыв цепи
P0A9C Hybridbatterie Temperaturfühler 1 - Meßbereichs- oder Leistungsproblem	P0A9C Батарея гибридной установки датчик температуры 1 - выход за диапазон измерения или неполадка в работе
P0A9D Hybridbatterie Temperaturfühler 1 - Input niedrig	P0A9D Батарея гибридной установки датчик температуры 1 - вход низкий
P0A9E Hybridbatterie Temperaturfühler 1 - Input hoch	P0A9E Батарея гибридной установки датчик температуры 1 - вход высокий
P0A9F Hybridbatterie Temperaturfühler 1 - Input sporadisch/unregelmäßig	P0A9F Батарея гибридной установки датчик температуры 1 - вход нестабильный/неравномерный
P0AA0 Hybridbatterie Pluspol - Fehlfunktion oder Leitungsunterbrechung	P0AA0 Батарея гибридной установки плюсовая клемма - неисправность или обрыв цепи
P0AA1 Hybridbatterie Pluspol - verklebt/festgebrannt im geschlossenen Zustand	P0AA1 Батарея гибридной установки плюсовая клемма - залипание/пригорание в закрытом состоянии
P0AA2 Hybridbatterie Pluspol - verklebt/festgebrannt im offenen Zustand	P0AA2 Батарея гибридной установки плюсовая клемма - залипание/пригорание в открытом состоянии
P0AA3 Hybridbatterie Minuspol - Fehlfunktion oder Leitungsunterbrechung	P0AA3 Батарея гибридной установки минусовая клемма - неисправность или обрыв цепи
P0AA4 Hybridbatterie Minuspol - verklebt/festgebrannt im geschlossenen Zustand	P0AA4 Батарея гибридной установки минусовая клемма - залипание/пригорание в закрытом состоянии
P0AA5 Hybridbatterie Minuspol - verklebt/festgebrannt im offenen Zustand	P0AA5 Батарея гибридной установки минусовая клемма - залипание/пригорание в открытом состоянии
P0AA6 Hybridbatterie Spannungsisolation - Fehler	P0AA6 Батарея гибридной установки изоляция напряжения - ошибка
P0AA7 Hybridbatterie Spannungsisolationssensor - Fehlfunktion oder Leitungsunterbrechung	P0AA7 Батарея гибридной установки датчик изоляции напряжения - неисправность или обрыв цепи
P0AA8 Hybridbatterie Spannungsisolationssensor - Meßbereichs- oder Leistungsproblem	P0AA8 Батарея гибридной установки датчик изоляции напряжения - выход за диапазон измерения или неполадка в работе
P0AA9 Hybridbatterie Spannungsisolationssensor - Input niedrig	P0AA9 Батарея гибридной установки датчик изоляции напряжения - вход низкий
P0AAA Hybridbatterie Spannungsisolationssensor - Input hoch	P0AAA Батарея гибридной установки датчик изоляции напряжения - вход высокий
P0AAB Hybridbatterie Spannungsisolationssensor - Input sporadisch/unregelmäßig	P0AAB Батарея гибридной установки датчик изоляции напряжения - вход нестабильный/неравномерный
P0AAC Hybridbatteriesatz Lufttemperaturfühler 1 - Fehlfunktion oder Leitungsunterbrechung	P0AAC Батарея гибридной установки датчик температуры воздуха 1 - неисправность или обрыв цепи
P0AAD Hybridbatteriesatz Lufttemperaturfühler 1 - Meßbereichs- oder Leistungsproblem	P0AAD Батарея гибридной установки датчик температуры воздуха 1 - выход за диапазон измерения или неполадка в работе
P0AAE Hybridbatteriesatz Lufttemperaturfühler 1 - Input niedrig	P0AAE Батарея гибридной установки датчик температуры воздуха 1 - вход низкий
P0AAF Hybridbatteriesatz Lufttemperaturfühler 1 - Input hoch	P0AAF Батарея гибридной установки датчик температуры воздуха 1 - вход высокий
P0AB0 Hybridbatteriesatz Lufttemperaturfühler 1 - Input sporadisch/unregelmäßig	P0AB0 Батарея гибридной установки датчик температуры воздуха 1 - вход нестабильный/неравномерный
P0AB1 Hybridbatteriesatz Lufttemperaturfühler 2 - Fehlfunktion oder Leitungsunterbrechung	P0AB1 Батарея гибридной установки датчик температуры воздуха 2 - неисправность или обрыв цепи
P0AB2 Hybridbatteriesatz Lufttemperaturfühler 2 - Meßbereichs- oder Leistungsproblem	P0AB2 Батарея гибридной установки датчик температуры воздуха 2 - выход за диапазон измерения или неполадка в работе
P0AB3 Hybridbatteriesatz Lufttemperaturfühler 2 - Input niedrig	P0AB3 Батарея гибридной установки датчик температуры воздуха 2 - вход низкий
P0AB4 Hybridbatteriesatz Lufttemperaturfühler 2 - Input hoch	P0AB4 Батарея гибридной установки датчик температуры воздуха 2 - вход высокий
P0AB5 Hybridbatteriesatz Lufttemperaturfühler 2 - Input sporadisch/unregelmäßig	P0AB5 Батарея гибридной установки датчик температуры воздуха 2 - вход нестабильный/неравномерный
P0AB6 Motorlager 2 - Fehlfunktion oder Leitungsunterbrechung	P0AB6 Опора двигателя 2 - неисправность или обрыв цепи
P0AB7 Motorlager 2 - Input niedrig	P0AB7 Опора двигателя 2 - вход низкий
P0AB8 Motorlager 2 - Input hoch	P0AB8 Опора двигателя 2 - вход высокий
P0AB9 Hybridsystem - Leistungsproblem	P0AB9 Гибридная система - неполадка в работе
P0ABA Hybridbatteriesatz Spannungsüberwachungskreis - Fehlfunktion	P0ABA Батарея гибридной установки цепь контроля напряжения - неисправность
P0ABB Hybridbatteriesatz Spannungsüberwachungskreis - Meßbereichs- oder Leistungsproblem	P0ABB Батарея гибридной установки цепь контроля напряжения - выход за диапазон измерения или неполадка в работе
P0ABC Hybridbatteriesatz Spannungsüberwachungskreis - Input niedrig	P0ABC Батарея гибридной установки цепь контроля напряжения - вход низкий
P0ABD Hybridbatteriesatz Spannungsüberwachungskreis - Input hoch	P0ABD Батарея гибридной установки цепь контроля напряжения - вход высокий
P0ABE Hybridbatteriesatz Spannungsüberwachungskreis - Input sporadisch/unregelmäßig	P0ABE Батарея гибридной установки цепь контроля напряжения - вход нестабильный/неравномерный
P0ABF Hybridbatteriesatz Stromsensor - Fehlfunktion	P0ABF Батарея гибридной установки датчик тока - неисправность
P0AC0 Hybridbatteriesatz Stromsensor - Meßbereichs- oder Leistungsproblem	P0AC0 Батарея гибридной установки датчик тока - выход за диапазон измерения или неполадка в работе
P0AC1 Hybridbatteriesatz Stromsensor - Input niedrig	P0AC1 Батарея гибридной установки датчик тока - вход низкий
P0AC2 Hybridbatteriesatz Stromsensor - Input hoch	P0AC2 Батарея гибридной установки датчик тока - вход высокий
P0AC3 Hybridbatteriesatz Stromsensor - Input sporadisch/unregelmäßig	P0AC3 Батарея гибридной установки датчик тока - вход нестабильный/неравномерный
P0AC4 Hybridantriebs-Steuergerät - Malfunction Indicator Lamp (MIL) Anforderung - Fehlfunktion	P0AC4 Блок управления гибридным приводом - запрос лампы неисправности (MIL) - неисправность
