!Clamp R On && ! Active eCall On && !RST	!Clamp R On && ! Active eCall On && !RST
% Tastverhaeltnis	% duty cycle
% Tastverhältnis	% duty cycle
P0ACA Hybridbatterie Temperaturfühler 3 - Fehlfunktion oder Leitungsunterbrechung	P0ACA Hybrid battery temperature sensor 3 - Malfunction or open circuit
P0ACB Hybridbatterie Temperaturfühler 3 - Meßbereichs- oder Leistungsproblem	P0ACB Hybrid battery temperature sensor 3 - Range or performance problem
P0ACC Hybridbatterie Temperaturfühler 3 - Input niedrig	P0ACC Hybrid battery temperature sensor 3 - Input low
P0ACD Hybridbatterie Temperaturfühler 3 - Input hoch	P0ACD Hybrid battery temperature sensor 3 - Input high
P0ACE Hybridbatterie Temperaturfühler 3 - Input sporadisch/unregelmäßig	P0ACE Hybrid battery temperature sensor 3 - Input intermittent/erratic
P0ACF Hybridbatteriesatz Lüfter 3 - Fehlfunktion oder Leitungsunterbrechung	P0ACF Hybrid battery pack fan 3 - Malfunction or open circuit
P0AD0 Hybridbatteriesatz Lüfter 3 - Leistungsproblem oder klemmt offen	P0AD0 Hybrid battery pack fan 3 - Performance problem or stuck open
P0AD1 Hybridbatteriesatz Lüfter 3 - klemmt geschlossen	P0AD1 Hybrid battery pack fan 3 - Stuck closed
P0AD2 Hybridbatteriesatz Lüfter 3 - Input niedrig	P0AD2 Hybrid battery pack fan 3 - Input low
P0AD3 Hybridbatteriesatz Lüfter 3 - Input hoch	P0AD3 Hybrid battery pack fan 3 - Input high
P0AE8 Hybridbatterie Temperaturfühler 4 - Fehlfunktion oder Leitungsunterbrechung	P0AE8 Hybrid battery temperature sensor 4 - Malfunction or open circuit
P0AE9 Hybridbatterie Temperaturfühler 4 - Meßbereichs- oder Leistungsproblem	P0AE9 Hybrid battery temperature sensor 4 - Range or performance problem
P0AEA Hybridbatterie Temperaturfühler 4 - Input niedrig	P0AEA Hybrid battery temperature sensor 4 - Input low
P0AEB Hybridbatterie Temperaturfühler 4 - Input hoch	P0AEB Hybrid battery temperature sensor 4 - Input high
P0AEC Hybridbatterie Temperaturfühler 4 - Input sporadisch/unregelmäßig	P0AEC Hybrid battery temperature sensor 4 - Input intermittent/erratic
P1000 VVT-System Minhubadaption - Anschlaganzahl überschritten	P1000 VVT system minimum lift adaptation - Stop count exceeded
P1001 VVT-Notlaufanforderung - Input hoch	P1001 VVT limp-home request - Input high
P1002 VVT-Notlaufanforderung - Input niedrig	P1002 VVT limp-home request - Input low
P1003 VVT-Notlaufanforderung - Leitungsunterbrechung	P1003 VVT limp-home request - Open circuit
P1004 VVT-Führungssensor (Bank 1) - Magnetverlust	P1004 VVT reference sensor (bank 1) - Loss of magnetism
P1005 VVT-Führungssensor (Bank 1) - Resetfehler	P1005 VVT reference sensor (bank 1) - Reset error
P1006 VVT-Führungssensor (Bank 1) - Parityfehler	P1006 VVT reference sensor (bank 1) - Parity error
P1007 VVT-Führungssensor (Bank 1) - Gradientenfehler	P1007 VVT reference sensor (bank 1) - Gradient error
P1008 VVT-Führungssensor (Bank 2) - Magnetverlust	P1008 VVT reference sensor (bank 2) - Loss of magnetism
P1009 VVT-Führungssensor (Bank 2) - Resetfehler	P1009 VVT reference sensor (bank 2) - Reset error
P100A Kraftstoffeinspritzleiste/-system (Bank 2) - Druck zu niedrig	P100A Fuel rail/system (bank 2) - Pressure too low
P100B Kraftstoffeinspritzleiste/-system (Bank 2) - Druck zu hoch	P100B Fuel rail/system (bank 2) - Pressure too high
P100C VVT-Notlaufanforderung (Bank 2) - Drehzahl- und Füllungsbegrenzung	P100C VVT limp-home request (bank 2) - Speed and load limitation
P100D VVT-Notlaufanforderung (Bank 2) - Vollhubposition nicht erreicht	P100D VVT limp-home request (bank 2) - Full lift position not reached
P100E VVT-Notlaufanforderung (Bank 2) - Luftmassen-Plausibilitätsfehler	P100E VVT limp-home request (bank 2) - Air mass plausibility error
P100F VVT-Überlastschutz Stellmotorstrom (Bank 1) - Plausibilitätsfehler	P100F VVT overload protection actuator motor current (bank 1) - Plausibility error
P1010 VVT-Führungssensor (Bank 2) - Parityfehler	P1010 VVT reference sensor (bank 2) - Parity error
P1011 VVT-Führungssensor (Bank 2) - Gradientenfehler	P1011 VVT reference sensor (bank 2) - Gradient error
P1012 VVT-Referenzsensor (Bank 1) - Magnetverlust	P1012 VVT reference sensor (bank 1) - Loss of magnetism
P1013 VVT-Referenzsensor (Bank 1) - Resetfehler	P1013 VVT reference sensor (bank 1) - Reset error
P1014 VVT-Referenzsensor (Bank 1) - Parityfehler	P1014 VVT reference sensor (bank 1) - Parity error
P1015 VVT-Referenzsensor (Bank 1) - Gradientenfehler	P1015 VVT reference sensor (bank 1) - Gradient error
P1016 Kraftstoffvolumenregelung (Bank 1) - Plausibilitätsfehler	P1016 Fuel volume control (bank 1) - Plausibility error
P1017 VVT-Sensoren (Bank 1) - Plausibilitätsfehler	P1017 VVT sensors (bank 1) - Plausibility error
P1018 VVT-Sensoren (Bank 2) - Plausibilitätsfehler	P1018 VVT sensors (bank 2) - Plausibility error
P1019 VVT-Versorgungsspannung Sensoren (Bank 1) - Input hoch	P1019 VVT sensor supply voltage (bank 1) - Input high
P101A VVT-Lernfunktion (Bank 1) - keine Anschläge gelernt	P101A VVT learning function (bank 1) - No stops learned
P101B VVT-Lernfunktion (Bank 1) - Speicherung Lernwerte im EEPROM nicht möglich	P101B VVT learning function (bank 1) - Learned values cannot be stored in EEPROM
P101C VVT-Entlastungsrelais - Input hoch	P101C VVT relief relay - Input high
P101D VVT-Entlastungsrelais - Input niedrig	P101D VVT relief relay - Input low
P101E VVT-Entlastungsrelais - Fehlfunktion oder Leistungsunterbrechung	P101E VVT relief relay - Malfunction or open circuit
P101F Umgebungstemperatur / Ansauglufttemperatur - Korrelationsfehler	P101F Ambient temperature / intake air temperature - Correlation error
P1020 VVT-Versorgungsspannung Sensoren (Bank 1) - Input niedrig	P1020 VVT sensor supply voltage (bank 1) - Input low
P1021 VVT-Versorgungsspannung Sensoren (Bank 2) - Input hoch	P1021 VVT sensor supply voltage (bank 2) - Input high
P1022 VVT-Versorgungsspannung Sensoren (Bank 2) - Input niedrig	P1022 VVT sensor supply voltage (bank 2) - Input low
P1023 VVT-Lernfunktion (Bank 1) - Verstellbereich fehlerhaft	P1023 VVT learning function (bank 1) - Adjustment range faulty
P1024 VVT-Lernfunktion (Bank 1) - unteres Lernfenster im unzulässigen Bereich	P1024 VVT learning function (bank 1) - Lower learning window out of allowed range
P1025 VVT-Lernfunktion (Bank 1) - keine Positionen gespeichert	P1025 VVT learning function (bank 1) - No positions stored
P1026 VVT-Lernfunktion (Bank 2) - Verstellbereich fehlerhaft	P1026 VVT learning function (bank 2) - Adjustment range faulty
P1027 VVT-Lernfunktion (Bank 2) - unteres Lernfenster im unzulässigen Bereich	P1027 VVT learning function (bank 2) - Lower learning window out of allowed range
P1028 VVT-Lernfunktion (Bank 2) - keine Positionen gespeichert	P1028 VVT learning function (bank 2) - No positions stored
P1029 VVT-Stellgliedüberwachung Stellmotortemperatur (Bank 1) - Input hoch	P1029 VVT actuator monitoring actuator motor temperature (bank 1) - Input high
P102A VVT-Stellgliedüberwachung Hubverstellung - Plausibilitätsfehler	P102A VVT actuator monitoring lift adjustment - Plausibility error
P102B VVT-Führungssensor (Bank 1) - Diagnosefehler	P102B VVT reference sensor (bank 1) - Diagnostic error
P102C VVT-Referenzsensor (Bank 1) - Diagnosefehler	P102C VVT reference sensor (bank 1) - Diagnostic error
P102D Nockenwellensteuerung - Systemdruck zu niedrig	P102D Camshaft control - System pressure too low
P102E Kraftstoffeinspritzleiste/-system (Bank 1) - Druckschwingungen	P102E Fuel rail/system (bank 1) - Pressure oscillations
P102F Kraftstoffeinspritzleiste/-system (Bank 2) - Druckschwingungen	P102F Fuel rail/system (bank 2) - Pressure oscillations
P1030 VVT-Stellglied Lagereglerüberwachung (Bank 1) - Regeldifferenz	P1030 VVT actuator position controller monitoring (bank 1) - Control deviation
P1031 VVT-Stellgliedüberwachung Drehrichtungserkennung (Bank 1) - Plausibilitätsfehler	P1031 VVT actuator monitoring rotation direction detection (bank 1) - Plausibility error
P1032 Kraftstoffvolumenregelung (Bank 2) - Plausibilitätsfehler	P1032 Fuel volume control (bank 2) - Plausibility error
P1033 VVT-Stellglied Lagereglerüberwachung (Bank 2) - Regeldifferenz	P1033 VVT actuator position controller monitoring (bank 2) - Control deviation
P1034 VVT-Stellgliedüberwachung Drehrichtungserkennung (Bank 2) - Plausibilitätsfehler	P1034 VVT actuator monitoring rotation direction detection (bank 2) - Plausibility error
P1035 VVT-CAN-Botschaftsüberwachung (Bank 1) - Sollwertbotschaft fehlerhaft	P1035 VVT CAN message monitoring (bank 1) - Setpoint message faulty
P1036 VVT-CAN-Timeout (Bank 1) - VVT-Sollwertbotschaft	P1036 VVT CAN timeout (bank 1) - VVT setpoint message
P1037 VVT-CAN-Timeout (Bank 1) - VVT-Botschaft	P1037 VVT CAN timeout (bank 1) - VVT message
P1038 VVT-CAN-Botschaftsüberwachung (Bank 2) - Sollwertbotschaft fehlerhaft	P1038 VVT CAN message monitoring (bank 2) - Setpoint message faulty
P1039 VVT-CAN-Timeout (Bank 2) - VVT-Sollwertbotschaft	P1039 VVT CAN timeout (bank 2) - VVT setpoint message
P103A VVT-System - Strom zu hoch	P103A VVT system - Current too high
P103B VVT-System - Strombegrenzung	P103B VVT system - Current limitation
P103C Nockenwellenversteller Einlass (Bank 1) - Übertemperatur	P103C Camshaft adjuster intake (bank 1) - Over-temperature
P103D Nockenwellenversteller Einlass (Bank 2) - Übertemperatur	P103D Camshaft adjuster intake (bank 2) - Over-temperature
P103E Nockenwellenversteller Auslass (Bank 1) - Übertemperatur	P103E Camshaft adjuster exhaust (bank 1) - Over-temperature
P103F Nockenwellenversteller Auslass (Bank 2) - Übertemperatur	P103F Camshaft adjuster exhaust (bank 2) - Over-temperature
P1040 VVT-CAN-Timeout (Bank 2) - VVT-Botschaft	P1040 VVT CAN timeout (bank 2) - VVT message
P1041 VVT-Steuergerät (Bank 1) - interner EEPROM Fehler	P1041 VVT control unit (bank 1) - Internal EEPROM error
P1042 VVT-Steuergerät (Bank 1) - interner 'Random Access Memory' (RAM) Fehler	P1042 VVT control unit (bank 1) - internal 'Random Access Memory' (RAM) fault
P1043 VVT-Steuergerät (Bank 1) - interner 'Read Only Memory' (ROM) Fehler	P1043 VVT control unit (bank 1) - internal 'Read Only Memory' (ROM) fault
P1044 VVT-Steuergerät (Bank 2) - interner EEPROM-Fehler	P1044 VVT control unit (bank 2) - internal EEPROM fault
P1045 VVT-Steuergerät (Bank 2) - interner 'Random Access Memory' (RAM) Fehler	P1045 VVT control unit (bank 2) - internal 'Random Access Memory' (RAM) fault
P1046 VVT-Steuergerät (Bank 2) - interner 'Read Only Memory' (ROM) Fehler	P1046 VVT control unit (bank 2) - internal 'Read Only Memory' (ROM) fault
P1047 VVT-Ansteuerung (Bank 1) - Input hoch	P1047 VVT actuation (bank 1) - input high
P1048 VVT-Ansteuerung (Bank 1) - Input niedrig	P1048 VVT actuation (bank 1) - input low
P1049 VVT-Ansteuerung Motorleitungen (Bank 1) - Kurzschluss	P1049 VVT actuation engine wiring (bank 1) - short circuit
P104A Nockenwellensteuerung Druckspeicherabsperrventil - Input niedrig	P104A Camshaft control pressure accumulator shut-off valve - input low
P104B Nockenwellensteuerung Druckspeicherabsperrventil - Input hoch	P104B Camshaft control pressure accumulator shut-off valve - input high
P104C Nockenwellensteuerung Druckspeicherabsperrventil - Fehlfunktion oder Leitungsunterbrechung	P104C Camshaft control pressure accumulator shut-off valve - malfunction or open circuit
P104D Nockenwellensteuerung Druckspeicherabsperrventil - Übertemperatur	P104D Camshaft control pressure accumulator shut-off valve - overtemperature
P1050 VVT-Ansteuerung (Bank 1) - Fehlfunktion	P1050 VVT actuation (bank 1) - malfunction
P1051 VVT-Ansteuerung (Bank 2) - Input hoch	P1051 VVT actuation (bank 2) - input high
P1052 VVT-Ansteuerung (Bank 2) - Input niedrig	P1052 VVT actuation (bank 2) - input low
P1053 VVT-Ansteuerung Motorleitungen (Bank 2) - Kurzschluss	P1053 VVT actuation engine wiring (bank 2) - short circuit
P1054 VVT-Ansteuerung (Bank 2) - Fehlfunktion	P1054 VVT actuation (bank 2) - malfunction
P1055 VVT-Versorgungsspannung Stellmotor (Bank 1) - Input hoch	P1055 VVT actuator supply voltage (bank 1) - input high
P1056 VVT-Versorgungsspannung Stellmotor (Bank 1) - Input niedrig	P1056 VVT actuator supply voltage (bank 1) - input low
P1057 VVT-Versorgungsspannung Stellmotor (Bank 1) - elektrischer Fehler	P1057 VVT actuator supply voltage (bank 1) - electrical fault
P1058 VVT-Versorgungsspannung Stellmotor (Bank 2) - Input hoch	P1058 VVT actuator supply voltage (bank 2) - input high
P1059 VVT-Versorgungsspannung Stellmotor (Bank 2) - Input niedrig	P1059 VVT actuator supply voltage (bank 2) - input low
P1060 VVT-Versorgungsspannung Stellmotor (Bank 2) - elektrischer Fehler	P1060 VVT actuator supply voltage (bank 2) - electrical fault
P1061 VVT-Notlaufanforderung (Bank 1) - Drehzahl- und Füllungsbegrenzung	P1061 VVT limp-home request (bank 1) - speed and load limitation
P1062 VVT-Notlaufanforderung (Bank 1) - Vollhubposition nicht erreicht	P1062 VVT limp-home request (bank 1) - full stroke position not reached
P1063 VVT-Notlaufanforderung (Bank 1) - Luftmassen-Plausibilitätsfehler	P1063 VVT limp-home request (bank 1) - air mass plausibility fault
P1064 VVT-Wertevergleich Abstellposition/Startposition (Bank 1) - Plausibilitätsfehler	P1064 VVT value comparison shutdown position/start position (bank 1) - plausibility fault
P1065 VVT-CAN-Timeout - kein Signal	P1065 VVT CAN timeout - no signal
P1066 VVT-CAN-Botschaftsüberwachung - Istwert fehlerhaft	P1066 VVT CAN message monitoring - actual value faulty
P1067 VVT-Referenzsensor (Bank 2) - Magnetverlust	P1067 VVT reference sensor (bank 2) - loss of magnetism
P1068 VVT-Referenzsensor (Bank 2) - Resetfehler	P1068 VVT reference sensor (bank 2) - reset fault
P1069 VVT-Referenzsensor (Bank 2) - Parityfehler	P1069 VVT reference sensor (bank 2) - parity fault
P1070 VVT Referenzsensor (Bank 2) - Gradientenfehler	P1070 VVT reference sensor (bank 2) - gradient fault
P1071 VVT-Steuergerät (Bank 1) - interner Watchdog oder Temperaturfühlerfehler	P1071 VVT control unit (bank 1) - internal watchdog or temperature sensor fault
P1072 VVT-Steuergerät (Bank 2) - interner Watchdog oder Temperaturfühlerfehler	P1072 VVT control unit (bank 2) - internal watchdog or temperature sensor fault
P1073 VVT-Sensoren (Bank 1) - Datenkonformität	P1073 VVT sensors (bank 1) - data conformity
P1074 VVT-Sensoren (Bank 2) - Datenkonformität	P1074 VVT sensors (bank 2) - data conformity
P1075 VVT-Überlastschutz (Bank 1) - Fehlfunktion	P1075 VVT overload protection (bank 1) - malfunction
P1076 VVT-Überlastschutz SG-Temperatur (Bank 1) - Input hoch	P1076 VVT overload protection control unit temperature (bank 1) - input high
P1077 VVT-Überlastschutz Stellmotortemperatur (Bank 1) - Input hoch	P1077 VVT overload protection actuator temperature (bank 1) - input high
P1078 VVT-Überlastschutz Stellmotorstrom (Bank 1) - Input hoch	P1078 VVT overload protection actuator current (bank 1) - input high
P1079 VVT-Überlastschutz (Bank 2) - Fehlfunktion	P1079 VVT overload protection (bank 2) - malfunction
P107A VVT-Überlastschutz Stellmotor - Strom zu hoch	P107A VVT overload protection actuator - current too high
P107B VVT-Überlastschutz Stellmotor - Temperatur zu hoch	P107B VVT overload protection actuator - temperature too high
P107C VVT-Überlastschutz - Temperatur zu hoch	P107C VVT overload protection - temperature too high
P1080 VVT-Überlastschutz SG-Temperatur (Bank 2) - Input hoch	P1080 VVT overload protection control unit temperature (bank 2) - input high
P1081 VVT-Überlastschutz Stellmotortemperatur (Bank 2) - Input hoch	P1081 VVT overload protection actuator temperature (bank 2) - input high
P1082 VVT-Überlastschutz Stellmotorstrom (Bank 2) - Input hoch	P1082 VVT overload protection actuator current (bank 2) - input high
P1083 Gemischaufbereitung am Regelanschlag (Bank 1, vor Katalysator) - System zu mager	P1083 Mixture control at control limit (bank 1, upstream of catalytic converter) - system too lean
P1084 Gemischaufbereitung am Regelanschlag (Bank 1, vor Katalysator) - System zu fett	P1084 Mixture control at control limit (bank 1, upstream of catalytic converter) - system too rich
P1085 Gemischaufbereitung am Regelanschlag (Bank 2, vor Katalysator) - System zu mager	P1085 Mixture control at control limit (bank 2, upstream of catalytic converter) - system too lean
P1086 Gemischaufbereitung am Regelanschlag (Bank 2, vor Katalysator) - System zu fett	P1086 Mixture control at control limit (bank 2, upstream of catalytic converter) - system too rich
P1087 Lambdasonde (Bank 1, vor Katalysator) - langsame Reaktion im Magerbereich der Regelschwingung	P1087 Oxygen sensor (bank 1, upstream of catalytic converter) - slow response in lean range of control oscillation
P1088 Lambdasonde (Bank 1, vor Katalysator) - langsame Reaktion im Fettbereich der Regelschwingung	P1088 Oxygen sensor (bank 1, upstream of catalytic converter) - slow response in rich range of control oscillation
P1089 Lambdasonde (Bank 2, vor Katalysator) - langsame Reaktion im Magerbereich der Regelschwingung	P1089 Oxygen sensor (bank 2, upstream of catalytic converter) - slow response in lean range of control oscillation
P1090 Gemischregelung (Bank 1, vor Katalysator) - System zu mager	P1090 Mixture control (bank 1, upstream of catalytic converter) - system too lean
P1091 Gemischregelung (Bank 2, vor Katalysator) - System zu mager	P1091 Mixture control (bank 2, upstream of catalytic converter) - system too lean
P1092 Gemischregelung (Bank 1, vor Katalysator) - System zu fett	P1092 Mixture control (bank 1, upstream of catalytic converter) - system too rich
P1093 Gemischregelung (Bank 2, vor Katalysator) - System zu fett	P1093 Mixture control (bank 2, upstream of catalytic converter) - system too rich
P1094 Lambdasonde (Bank 2, vor Katalysator) - langsame Reaktion in Fettbereich der Regelschwingung	P1094 Oxygen sensor (bank 2, upstream of catalytic converter) - slow response in rich range of control oscillation
P1095 Lambdasonde Signalkreis (Bank 1, vor Katalysator) - Sprungzeit mager nach fett und fett nach Mager langsame Reaktion	P1095 Oxygen sensor signal circuit (bank 1, upstream of catalytic converter) - lean-to-rich and rich-to-lean transition time slow response
P1096 Lambdasonde Signalkreis (Bank 2, vor Katalysator) - Sprungzeit mager nach fett und fett nach mager langsame Reaktion	P1096 Oxygen sensor signal circuit (bank 2, upstream of catalytic converter) - lean-to-rich and rich-to-lean transition time slow response
P1097 Lambdasonde (Bank 1, nach Katalysator) - langsame Reaktion nach Schubabschaltphase	P1097 Oxygen sensor (bank 1, downstream of catalytic converter) - slow response after overrun fuel cutoff phase
P1098 Lambdasonde (Bank 2, nach Katalysator) - langsame Reaktion nach Schubabschaltphase	P1098 Oxygen sensor (bank 2, downstream of catalytic converter) - slow response after overrun fuel cutoff phase
P1099 VVT-Wertevergleich Abstellposition/Startposition (Bank 2) - Plausibilitätsfehler	P1099 VVT value comparison shutdown position/start position (bank 2) - plausibility fault
P1100 Lambdasonde (Bank 1, vor Katalysator) - langsame Reaktion nach Schubabschaltphase  (S62: Luftmassenmesser - Input hoch)	P1100 Oxygen sensor (bank 1, upstream of catalytic converter) - slow response after overrun fuel cutoff phase (S62: mass air flow sensor - input high)
P1101 Lambdasonde (Bank 2, vor Katalysator) - langsame Reaktion nach Schubabschaltphase	P1101 Oxygen sensor (bank 2, upstream of catalytic converter) - slow response after overrun fuel cutoff phase
P1102 Leerlaufregelsystem - Nebenluft Massenstromadaption zu klein	P1102 Idle control system - secondary air mass flow adaptation too small
P1103 Leerlaufregelsystem - Nebenluft Massenstromadaption zu groß	P1103 Idle control system - secondary air mass flow adaptation too large
P1104 Differenzdrucksensor Saugrohr (Bank 1) - Druck zu niedrig	P1104 Differential pressure sensor intake manifold (bank 1) - pressure too low
P1105 Differenzdrucksensor Saugrohr (Bank 1) - Druck zu hoch	P1105 Differential pressure sensor intake manifold (bank 1) - pressure too high
P1106 Drucksensor Saugrohr - Input zu niedrig bei stehendem Motor	P1106 Intake manifold pressure sensor - input too low with engine stopped
P1107 Drucksensor Saugrohr - Input zu niedrig im Leerlauf	P1107 Intake manifold pressure sensor - input too low at idle
P1108 Drucksensor Saugrohr - Input zu niedrig bei Volllast bei niedriger Motordrehzahl	P1108 Intake manifold pressure sensor - input too low at full load at low engine speed
P1109 Drucksensor Saugrohr - Input zu hoch bei Schub	P1109 Intake manifold pressure sensor - input too high on overrun
P110A Differenzdrucksensor Saugrohr (Bank 2) - Druck zu niedrig	P110A Differential pressure sensor intake manifold (bank 2) - pressure too low
P110B Differenzdrucksensor Saugrohr (Bank 2) - Druck zu hoch	P110B Differential pressure sensor intake manifold (bank 2) - pressure too high
P110C Pedalwertgeber Bewegungserkennung - Plausibilitätsfehler	P110C Accelerator pedal sensor motion detection - plausibility fault
P110D Drosselklappenpotentiometer 1 und 2 - Meßbereichs- oder Leistungsproblem	P110D Throttle valve potentiometer 1 and 2 - range/performance problem
P110E interner Code (Service/Bandendetest)	P110E internal code (service/end-of-line test)
P110F Umgebungstemperaturfühler - CAN-Signal fehlerhaft	P110F Ambient temperature sensor - CAN signal faulty
P1110 Motoröltemperatur - zu hoch	P1110 Engine oil temperature - too high
P1111 Temperaturfühler Kühleraustritt - Input niedrig	P1111 Radiator outlet temperature sensor - input low
P1112 Temperaturfühler Kühleraustritt - Input hoch	P1112 Radiator outlet temperature sensor - input high
P1113 Temperaturfühler Kühleraustritt - Input sporadisch	P1113 Radiator outlet temperature sensor - input intermittent
P1114 Lambdasonde Signalkreis (Bank 2, vor Katalysator) - Sprungzeit mager nach fett langsame Reaktion	P1114 Oxygen sensor signal circuit (bank 2, upstream of catalytic converter) - lean-to-rich transition time slow response
P1115 Umgebungstemperaturfühler - Fehlerwert empfangen (M52LEV, S54 bis 09/00: Kühlmitteltemperatursensor - Plausibilitätsfehler)	P1115 Ambient temperature sensor - fault value received (M52LEV, S54 until 09/00: coolant temperature sensor - plausibility fault)
P1116 Luftmassen- oder Luftmengendurchsatz (Bank 2) - Meßbereichs- oder Leistungsproblem	P1116 Mass air flow or air flow rate (bank 2) - range/performance problem
P1117 Luftmassen- oder Luftmengendurchsatz (Bank 2) - Input niedrig	P1117 Mass air flow or air flow rate (bank 2) - input low
P1118 Luftmassen- oder Luftmengendurchsatz (Bank 2) - Input hoch	P1118 Mass air flow or air flow rate (bank 2) - input high
P1119 Lambdasonde Signalkreis (Bank 1, vor Katalysator) - Sprungzeit mager nach fett langsame Reaktion	P1119 Oxygen sensor signal circuit (bank 1, upstream of catalytic converter) - lean-to-rich transition time slow response
P111A Luftmassen- oder Luftmengendurchsatz über Lambdasonde (Bank 1) - zu groß	P111A Mass air flow or air flow rate via oxygen sensor (bank 1) - too high
P111B Luftmassen- oder Luftmengendurchsatz über Lambdasonde (Bank 1) - zu gering	P111B Mass air flow or air flow rate via oxygen sensor (bank 1) - too low
P111C Luftmassen- oder Luftmengendurchsatz über Lambdasonde (Bank 2) - zu groß	P111C Mass air flow or air flow rate via oxygen sensor (bank 2) - too high
P111D Luftmassen- oder Luftmengendurchsatz über Lambdasonde (Bank 2) - zu gering	P111D Mass air flow or air flow rate via oxygen sensor (bank 2) - too low
P111E Ansauglufttemperaturfühler 1 - Maximaltemperatur unplausibel	P111E Intake air temperature sensor 1 - maximum temperature implausible
P111F Ansauglufttemperaturfühler 1 - Minimaltemperatur unplausibel	P111F Intake air temperature sensor 1 - minimum temperature implausible
P1120 Pedalwertgeber - Fehlfunktion	P1120 Accelerator pedal sensor - malfunction
P1121 Pedalwertgeber 1 - Meßbereichs- oder Leistungsproblem	P1121 Accelerator pedal sensor 1 - range/performance problem
P1122 Pedalwertgeber 1 - Input niedrig	P1122 Accelerator pedal sensor 1 - input low
P1123 Pedalwertgeber 1 - Input hoch	P1123 Accelerator pedal sensor 1 - input high
P1124 Differenzdrucksensor Saugrohr (Bank 1) - Offset	P1124 Differential pressure sensor intake manifold (bank 1) - offset
P1125 Drosselklappenpotentiometer 1 und 2 - Meßbereichs- oder Leistungsproblem (kleiner Fehler)	P1125 Throttle valve potentiometer 1 and 2 - range/performance problem (minor fault)
P1126 Drosselklappenpotentiometer 1 und 2 - Meßbereichs- oder Leistungsproblem (großer Fehler)	P1126 Throttle valve potentiometer 1 and 2 - range/performance problem (major fault)
P1127 Ölniveausensor Signal - Plausibilitätsfehler	P1127 Oil level sensor signal - plausibility fault
P1128 Ölniveausensor - kein Signal	P1128 Oil level sensor - no signal
P1129 Ölniveausensor Signal - Ölstand zu niedrig	P1129 Oil level sensor signal - oil level too low
P112A Motorkühlmitteltemperaturfühler 1 - Maximaltemperatur unplausibel	P112A Engine coolant temperature sensor 1 - maximum temperature implausible
P112B Motorkühlmitteltemperaturfühler 1 - Minimaltemperatur unplausibel	P112B Engine coolant temperature sensor 1 - minimum temperature implausible
P112C Lambdasonde virtuelle Masse oder Pumpstromleitung (Bank 1, vor Katalysator) - Fehlfunktion oder Leitungsunterbrechung	P112C Oxygen sensor virtual ground or pump current line (bank 1, upstream of catalytic converter) - malfunction or open circuit
P112D Lambdasonde virtuelle Masse oder Pumpstromleitung (Bank 2, vor Katalysator) - Fehlfunktion oder Leitungsunterbrechung	P112D Oxygen sensor virtual ground or pump current line (bank 2, upstream of catalytic converter) - malfunction or open circuit
P1130 Lambdasonde (Bank 1, nach Katalysator) - Dynamikprüfung	P1130 Oxygen sensor (bank 1, downstream of catalytic converter) - dynamic response test
P1131 Lambdasonde (Bank 2, nach Katalysator) - Dynamikprüfung	P1131 Oxygen sensor (bank 2, downstream of catalytic converter) - dynamic response test
P1132 Lambdasonde Heizungsschaltkreis (Bank 1, vor Katalysator) - Fehlfunktion	P1132 Oxygen sensor heater circuit (bank 1, upstream of catalytic converter) - malfunction
P1133 Lambdasonde Heizungsschaltkreis (Bank 2, vor Katalysator) - Fehlfunktion	P1133 Oxygen sensor heater circuit (bank 2, upstream of catalytic converter) - malfunction
P1134 Lambdasonde Heizungsschaltkreis (Bank 1, vor Katalysator) - Signal sporadisch	P1134 Oxygen sensor heater circuit (bank 1, upstream of catalytic converter) - signal intermittent
P1135 Lambdasonde Heizungschaltkreis (Bank 1, vor Katalysator) - Spannung niedrig	P1135 Oxygen sensor heater circuit (bank 1, upstream of catalytic converter) - voltage low
P1136 Lambdasonde Heizungschaltkreis (Bank 1, vor Katalysator) - Spannung hoch	P1136 Oxygen sensor heater circuit (bank 1, upstream of catalytic converter) - voltage high
P1137 Lambdasonde Heizungschaltkreis (Bank 1 nach Katalysator) - Signal sporadisch	P1137 Oxygen sensor heater circuit (bank 1, downstream of catalytic converter) - signal intermittent
P1138 Lambdasonde Heizungschaltkreis (Bank 1 nach Katalysator) - Spannung niedrig	P1138 Oxygen sensor heater circuit (bank 1, downstream of catalytic converter) - voltage low
P1139 Lambdasonde Heizungschaltkreis (Bank 1 nach Katalysator) - Spannung hoch	P1139 Oxygen sensor heater circuit (bank 1, downstream of catalytic converter) - voltage high
P1140 Luftmassen- oder Luftmengendurchsatz - Meßbereichs- oder Leistungsproblem	P1140 Mass air flow or air flow rate - range/performance problem
P1141 Wertevergleich Drosselklapenpotentiometer 1/Heißfilmluftmassenmesser	P1141 Value comparison throttle valve potentiometer 1/hot-film mass air flow sensor
P1142 Wertevergleich Drosselklapenpotentiometer 2/Heißfilmluftmassenmesser	P1142 Value comparison throttle valve potentiometer 2/hot-film mass air flow sensor
P1143 Lambdasonde Aktivitätsüberprüfung (Bank 1, nach Katalysator) - Signal zu hoch	P1143 Oxygen sensor activity check (bank 1, downstream of catalytic converter) - signal too high
P1144 Lambdasonde Aktivitätsüberprüfung (Bank 1, nach Katalysator) - Signal zu niedrig	P1144 Oxygen sensor activity check (bank 1, downstream of catalytic converter) - signal too low
